destination_id,product,audience_or_variant,language,clean_url,ad_url_with_utms,status
DSCR-A001,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A001_R01_V01_EN,LIVE
DSCR-A002,DSCR,First-time rental investors,EN,https://stonehavencre.com/dscr/first-time-investors,https://stonehavencre.com/dscr/first-time-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A002_R01_V01_EN,LIVE
DSCR-A003,DSCR,Self-employed investors,EN,https://stonehavencre.com/dscr/self-employed-investors,https://stonehavencre.com/dscr/self-employed-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A003_R01_V01_EN,LIVE
DSCR-A004,DSCR,Working professionals,EN,https://stonehavencre.com/dscr/working-professionals,https://stonehavencre.com/dscr/working-professionals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A004_R01_V01_EN,LIVE
DSCR-A005,DSCR,Out-of-state investors,EN,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A005_R01_V01_EN,LIVE
DSCR-A006,DSCR,Portfolio growth,EN,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A006_R01_V01_EN,LIVE
DSCR-A007,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A007_R01_V01_EN,LIVE
DSCR-A008,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A008_R01_V01_EN,LIVE
DSCR-A009,DSCR,Cash buyers refinancing,EN,https://stonehavencre.com/dscr/cash-purchase-refinance,https://stonehavencre.com/dscr/cash-purchase-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A009_R01_V01_EN,LIVE
DSCR-A010,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A010_R01_V01_EN,LIVE
DSCR-A011,DSCR,Bridge and hard-money refinance,EN,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A011_R01_V01_EN,LIVE
DSCR-A012,DSCR,BRRRR refinance planning,EN,https://stonehavencre.com/dscr/brrrr-refinance,https://stonehavencre.com/dscr/brrrr-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A012_R01_V01_EN,LIVE
DSCR-A013,DSCR,Bridge and hard-money refinance,EN,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A013_R01_V01_EN,LIVE
DSCR-A014,DSCR,Bridge and hard-money refinance,EN,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A014_R01_V01_EN,LIVE
DSCR-A015,DSCR,Rate-and-term refinance,EN,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A015_R01_V01_EN,LIVE
DSCR-A016,DSCR,Hold-or-sell decisions,EN,https://stonehavencre.com/dscr/hold-or-sell,https://stonehavencre.com/dscr/hold-or-sell?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A016_R01_V01_EN,LIVE
DSCR-A017,DSCR,Out-of-state investors,EN,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A017_R01_V01_EN,LIVE
DSCR-A018,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A018_R01_V01_EN,LIVE
DSCR-A019,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A019_R01_V01_EN,LIVE
DSCR-A020,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A020_R01_V01_EN,LIVE
DSCR-A021,DSCR,Short-term rental operators,EN,https://stonehavencre.com/dscr/short-term-rentals,https://stonehavencre.com/dscr/short-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A021_R01_V01_EN,LIVE
DSCR-A022,DSCR,Long-term rental owners,EN,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A022_R01_V01_EN,LIVE
DSCR-A023,DSCR,2-4 unit investors,EN,https://stonehavencre.com/dscr/2-4-unit-properties,https://stonehavencre.com/dscr/2-4-unit-properties?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A023_R01_V01_EN,LIVE
DSCR-A024,DSCR,LLC and partnership owners,EN,https://stonehavencre.com/dscr/llc-investors,https://stonehavencre.com/dscr/llc-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A024_R01_V01_EN,LIVE
DSCR-A025,DSCR,Rate-and-term refinance,EN,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A025_R01_V01_EN,LIVE
DSCR-A026,DSCR,Veteran investors,EN,https://stonehavencre.com/dscr/veteran-investors,https://stonehavencre.com/dscr/veteran-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A026_R01_V01_EN,LIVE
DSCR-A027,DSCR,Spanish-preferring investors,ES,https://stonehavencre.com/es/dscr,https://stonehavencre.com/es/dscr?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A027_R01_V01_ES,LIVE
DSCR-A028,DSCR,Long-term rental owners,EN,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A028_R01_V01_EN,LIVE
DSCR-A029,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A029_R01_V01_EN,LIVE
DSCR-A030,DSCR,Portfolio growth,EN,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A030_R01_V01_EN,LIVE
