concept_id,angle_or_content_id,product,subsection_or_variant,language,lp_id,final_path,clean_url,proposed_ad_url,message_match_status,destination_status
,HELOC-WIZARD,HELOC,HELOC wizard (10-step),EN,,/heloc-wizard,https://stonehavencre.com/heloc-wizard,https://stonehavencre.com/heloc-wizard?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=wizard,MATCHED (hero = ad promise),LIVE
,HELOC-INSTANT,HELOC,HELOC instant (phone-first),EN,,/heloc-instant,https://stonehavencre.com/heloc-instant,https://stonehavencre.com/heloc-instant?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=instant,MATCHED (hero = ad promise),LIVE
,HELOC-WIZARD-ES,HELOC,HELOC wizard Spanish,ES,,/es/heloc-wizard,https://stonehavencre.com/es/heloc-wizard,https://stonehavencre.com/es/heloc-wizard?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=wizard-es,MATCHED (hero = ad promise),LIVE
,HELOC-INSTANT-ES,HELOC,HELOC instant Spanish,ES,,/es/heloc-instant,https://stonehavencre.com/es/heloc-instant,https://stonehavencre.com/es/heloc-instant?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=instant-es,MATCHED (hero = ad promise),LIVE
,HELOC-homeowners-ren,HELOC,Homeowners / renovation,EN,,/heloc/homeowners,https://stonehavencre.com/heloc/homeowners,https://stonehavencre.com/heloc/homeowners?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=homeowners-ren,MATCHED (H1 per intent),LIVE
,HELOC-homeowners-con,HELOC,Homeowners / consolidation,EN,,/heloc/homeowners,https://stonehavencre.com/heloc/homeowners,https://stonehavencre.com/heloc/homeowners?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=homeowners-con,MATCHED (H1 per intent),LIVE
,HELOC-veteran-homeowners-ren,HELOC,Veteran homeowners / renovation,EN,,/heloc/veteran-homeowners,https://stonehavencre.com/heloc/veteran-homeowners,https://stonehavencre.com/heloc/veteran-homeowners?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=veteran-homeowners-ren,MATCHED (H1 per intent),LIVE
,HELOC-veteran-homeowners-con,HELOC,Veteran homeowners / consolidation,EN,,/heloc/veteran-homeowners,https://stonehavencre.com/heloc/veteran-homeowners,https://stonehavencre.com/heloc/veteran-homeowners?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=veteran-homeowners-con,MATCHED (H1 per intent),LIVE
,HELOC-career-moms-ren,HELOC,Busy working households / renovation,EN,,/heloc/career-moms,https://stonehavencre.com/heloc/career-moms,https://stonehavencre.com/heloc/career-moms?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=career-moms-ren,MATCHED (H1 per intent),LIVE
,HELOC-career-moms-con,HELOC,Busy working households / consolidation,EN,,/heloc/career-moms,https://stonehavencre.com/heloc/career-moms,https://stonehavencre.com/heloc/career-moms?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=career-moms-con,MATCHED (H1 per intent),LIVE
,HELOC-empty-nesters-ren,HELOC,Households rethinking space / renovation,EN,,/heloc/empty-nesters,https://stonehavencre.com/heloc/empty-nesters,https://stonehavencre.com/heloc/empty-nesters?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=empty-nesters-ren,MATCHED (H1 per intent),LIVE
,HELOC-empty-nesters-con,HELOC,Households rethinking space / consolidation,EN,,/heloc/empty-nesters,https://stonehavencre.com/heloc/empty-nesters,https://stonehavencre.com/heloc/empty-nesters?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=empty-nesters-con,MATCHED (H1 per intent),LIVE
,HELOC-staying-put-ren,HELOC,Long-term homeowners / renovation,EN,,/heloc/staying-put,https://stonehavencre.com/heloc/staying-put,https://stonehavencre.com/heloc/staying-put?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=staying-put-ren,MATCHED (H1 per intent),LIVE
,HELOC-staying-put-con,HELOC,Long-term homeowners / consolidation,EN,,/heloc/staying-put,https://stonehavencre.com/heloc/staying-put,https://stonehavencre.com/heloc/staying-put?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=staying-put-con,MATCHED (H1 per intent),LIVE
,HELOC-next-chapter-ren,HELOC,Planning toward retirement / renovation,EN,,/heloc/next-chapter,https://stonehavencre.com/heloc/next-chapter,https://stonehavencre.com/heloc/next-chapter?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=next-chapter-ren,MATCHED (H1 per intent),LIVE
,HELOC-next-chapter-con,HELOC,Planning toward retirement / consolidation,EN,,/heloc/next-chapter,https://stonehavencre.com/heloc/next-chapter,https://stonehavencre.com/heloc/next-chapter?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=next-chapter-con,MATCHED (H1 per intent),LIVE
,HELOC-multigenerational-living-ren,HELOC,Multigenerational households / renovation,EN,,/heloc/multigenerational-living,https://stonehavencre.com/heloc/multigenerational-living,https://stonehavencre.com/heloc/multigenerational-living?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=multigenerational-living-ren,MATCHED (H1 per intent),LIVE
,HELOC-multigenerational-living-con,HELOC,Multigenerational households / consolidation,EN,,/heloc/multigenerational-living,https://stonehavencre.com/heloc/multigenerational-living,https://stonehavencre.com/heloc/multigenerational-living?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=multigenerational-living-con,MATCHED (H1 per intent),LIVE
,HELOC-busy-family-households-ren,HELOC,Households balancing many responsibilities / renovation,EN,,/heloc/busy-family-households,https://stonehavencre.com/heloc/busy-family-households,https://stonehavencre.com/heloc/busy-family-households?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=busy-family-households-ren,MATCHED (H1 per intent),LIVE
,HELOC-busy-family-households-con,HELOC,Households balancing many responsibilities / consolidation,EN,,/heloc/busy-family-households,https://stonehavencre.com/heloc/busy-family-households,https://stonehavencre.com/heloc/busy-family-households?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=busy-family-households-con,MATCHED (H1 per intent),LIVE
,HELOC-home-office-ren,HELOC,Professionals working from home / renovation,EN,,/heloc/home-office,https://stonehavencre.com/heloc/home-office,https://stonehavencre.com/heloc/home-office?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=home-office-ren,MATCHED (H1 per intent),LIVE
,HELOC-home-office-con,HELOC,Professionals working from home / consolidation,EN,,/heloc/home-office,https://stonehavencre.com/heloc/home-office,https://stonehavencre.com/heloc/home-office?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=home-office-con,MATCHED (H1 per intent),LIVE
,HELOC-shift-workers-ren,HELOC,Professionals with demanding schedules / renovation,EN,,/heloc/shift-workers,https://stonehavencre.com/heloc/shift-workers,https://stonehavencre.com/heloc/shift-workers?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=shift-workers-ren,MATCHED (H1 per intent),LIVE
,HELOC-shift-workers-con,HELOC,Professionals with demanding schedules / consolidation,EN,,/heloc/shift-workers,https://stonehavencre.com/heloc/shift-workers,https://stonehavencre.com/heloc/shift-workers?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=shift-workers-con,MATCHED (H1 per intent),LIVE
,HELOC-educators-ren,HELOC,Teachers and school staff / renovation,EN,,/heloc/educators,https://stonehavencre.com/heloc/educators,https://stonehavencre.com/heloc/educators?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=educators-ren,MATCHED (H1 per intent),LIVE
,HELOC-educators-con,HELOC,Teachers and school staff / consolidation,EN,,/heloc/educators,https://stonehavencre.com/heloc/educators,https://stonehavencre.com/heloc/educators?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=educators-con,MATCHED (H1 per intent),LIVE
,HELOC-contractor-quotes-ren,HELOC,Homeowners holding renovation quotes / renovation,EN,,/heloc/contractor-quotes,https://stonehavencre.com/heloc/contractor-quotes,https://stonehavencre.com/heloc/contractor-quotes?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=contractor-quotes-ren,MATCHED (H1 per intent),LIVE
