destination_id,product,audience_or_variant,language,clean_url,ad_url_with_utms,status
HELOC-WIZARD,HELOC,HELOC wizard (10-step),EN,https://stonehavencre.com/heloc-wizard,https://stonehavencre.com/heloc-wizard?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=wizard,LIVE
HELOC-INSTANT,HELOC,HELOC instant (phone-first),EN,https://stonehavencre.com/heloc-instant,https://stonehavencre.com/heloc-instant?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=instant,LIVE
HELOC-WIZARD-ES,HELOC,HELOC wizard Spanish,ES,https://stonehavencre.com/es/heloc-wizard,https://stonehavencre.com/es/heloc-wizard?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=wizard-es,LIVE
HELOC-INSTANT-ES,HELOC,HELOC instant Spanish,ES,https://stonehavencre.com/es/heloc-instant,https://stonehavencre.com/es/heloc-instant?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=instant-es,LIVE
HELOC-homeowners-ren,HELOC,Homeowners (renovation),EN,https://stonehavencre.com/heloc/homeowners,https://stonehavencre.com/heloc/homeowners?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=homeowners-ren,LIVE
HELOC-homeowners-con,HELOC,Homeowners (consolidation),EN,https://stonehavencre.com/heloc/homeowners,https://stonehavencre.com/heloc/homeowners?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=homeowners-con,LIVE
HELOC-veteran-homeowners-ren,HELOC,Veteran homeowners (renovation),EN,https://stonehavencre.com/heloc/veteran-homeowners,https://stonehavencre.com/heloc/veteran-homeowners?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=veteran-homeowners-ren,LIVE
HELOC-veteran-homeowners-con,HELOC,Veteran homeowners (consolidation),EN,https://stonehavencre.com/heloc/veteran-homeowners,https://stonehavencre.com/heloc/veteran-homeowners?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=veteran-homeowners-con,LIVE
HELOC-career-moms-ren,HELOC,Busy working households (renovation),EN,https://stonehavencre.com/heloc/career-moms,https://stonehavencre.com/heloc/career-moms?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=career-moms-ren,LIVE
HELOC-career-moms-con,HELOC,Busy working households (consolidation),EN,https://stonehavencre.com/heloc/career-moms,https://stonehavencre.com/heloc/career-moms?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=career-moms-con,LIVE
HELOC-empty-nesters-ren,HELOC,Households rethinking space (renovation),EN,https://stonehavencre.com/heloc/empty-nesters,https://stonehavencre.com/heloc/empty-nesters?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=empty-nesters-ren,LIVE
HELOC-empty-nesters-con,HELOC,Households rethinking space (consolidation),EN,https://stonehavencre.com/heloc/empty-nesters,https://stonehavencre.com/heloc/empty-nesters?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=empty-nesters-con,LIVE
HELOC-staying-put-ren,HELOC,Long-term homeowners (renovation),EN,https://stonehavencre.com/heloc/staying-put,https://stonehavencre.com/heloc/staying-put?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=staying-put-ren,LIVE
HELOC-staying-put-con,HELOC,Long-term homeowners (consolidation),EN,https://stonehavencre.com/heloc/staying-put,https://stonehavencre.com/heloc/staying-put?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=staying-put-con,LIVE
HELOC-next-chapter-ren,HELOC,Planning toward retirement (renovation),EN,https://stonehavencre.com/heloc/next-chapter,https://stonehavencre.com/heloc/next-chapter?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=next-chapter-ren,LIVE
HELOC-next-chapter-con,HELOC,Planning toward retirement (consolidation),EN,https://stonehavencre.com/heloc/next-chapter,https://stonehavencre.com/heloc/next-chapter?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=next-chapter-con,LIVE
