concept_id,angle_id,copy_revision,visual_id,lp_id,clean_url,proposed_ad_url,message_match_status,destination_status
C01,DSCR-A001,R01,V01,DSCR-LP001,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A001_R01_V01_EN,MATCHED (hero reflects angle hook),"PROPOSED (branch build, not deployed)"
C05,DSCR-A002,R01,V01,DSCR-LP005,https://stonehavencre.com/dscr/first-time-investors,https://stonehavencre.com/dscr/first-time-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A002_R01_V01_EN,MATCHED (hero reflects angle hook),"PROPOSED (branch build, not deployed)"
C04,DSCR-A003,R01,V01,DSCR-LP004,https://stonehavencre.com/dscr/self-employed-investors,https://stonehavencre.com/dscr/self-employed-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A003_R01_V01_EN,MATCHED (hero reflects angle hook),"PROPOSED (branch build, not deployed)"
,DSCR-A004,R01,,DSCR-LP007,https://stonehavencre.com/dscr/working-professionals,https://stonehavencre.com/dscr/working-professionals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A004_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A005,R01,,DSCR-LP008,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A005_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A006,R01,,DSCR-LP009,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A006_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
C02,DSCR-A007,R01,V01,DSCR-LP003,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A007_R01_V01_EN,MATCHED (hero reflects angle hook),"PROPOSED (branch build, not deployed)"
,DSCR-A008,R01,,DSCR-LP003,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A008_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A009,R01,,DSCR-LP015,https://stonehavencre.com/dscr/cash-purchase-refinance,https://stonehavencre.com/dscr/cash-purchase-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A009_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A010,R01,,DSCR-LP003,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A010_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
C03,DSCR-A011,R01,V01,DSCR-LP002,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A011_R01_V01_EN,MATCHED (hero reflects angle hook),"PROPOSED (branch build, not deployed)"
,DSCR-A012,R01,,DSCR-LP006,https://stonehavencre.com/dscr/brrrr-refinance,https://stonehavencre.com/dscr/brrrr-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A012_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A013,R01,,DSCR-LP002,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A013_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A014,R01,,DSCR-LP002,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A014_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A015,R01,,DSCR-LP012,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A015_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A016,R01,,DSCR-LP016,https://stonehavencre.com/dscr/hold-or-sell,https://stonehavencre.com/dscr/hold-or-sell?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A016_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
C06,DSCR-A017,R01,V01,DSCR-LP008,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A017_R01_V01_EN,MATCHED (hero reflects angle hook),"PROPOSED (branch build, not deployed)"
,DSCR-A018,R01,,DSCR-LP001,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A018_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
